INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
2511,Gays are perverts.,"Life is too short not to love who you like, or to worry about arbitary notions and 'norms' that are no longer relevant to how people live their lives.",LGBT+,V5
2512,Gays are perverts.,Why do you think it is a crime to be gay? It is a societal disorder to target gays.,LGBT+,V5
2513,All gay are psychopaths.,"According to the studies, the percentage of gay men that are actually psychopaths, is not different than the percentage in heterosexual.",LGBT+,V5
2514,All gay are paedophiles.,"Do you consider this statement a true one? I wouldn't go as far as to say that all homophobes are in need of therapy, would you?",LGBT+,V5
2515,All gay are paedophiles.,I think this statement is hurtful to LGBT+ people. How about you explain it?,LGBT+,V5
2516,Gay men are a danger to children.,"You know, being gay is not a bad thing. It just means they are different from some other people.",LGBT+,V5
2517,Gay men are just sissies.,It doesn't matter if they are gay or not. Being gay does not make you less of a man.,LGBT+,V5
2518,Gay men are a danger to children.,"Homosexuality is not harmful to children. Actually, a growing number of research shows that children raised by same-sex couples are as physically or psychologically healthy, capable, and successful as those raised by opposite-sex couples.",LGBT+,V5
2519,Gays are sick. They should be isolated urgently. They have no place in civilised society.,"Gay people exist, and are loved and valued for who they are. They are human beings with full human rights.",LGBT+,V5
2520,Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,LGBT+ people exist and are valued for who they are. They are human beings with full human rights.,LGBT+,V5
2521,Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,"In civilised countries (including Western countries) homosexuality is legal, and homosexual people have full rights. Gay people must be loved and valued for who they are, like everybody else.",LGBT+,V5
2522,We should stop integrating immigrants. It would be a very good thing.,How about you stop blaming immigrants and start fixing our broken society?,MIGRANTS,V5
2523,"We can't have mestizos in, we can't coexist with millions of immigrants that will destroy our culture.","Even in countries such as Italy, in which migration has been present for centuries and there is a lot of cultural fragmentation, there is still a strong sense of identity and culture, based on solidarity. So, migration is not an issue.",MIGRANTS,V5
2524,We must stop immigration.,"In practice, immigrants from many countries integrate very well. They learn the language, the culture and respect the law.",MIGRANTS,V5
2525,Illegal immigrants steal our jobs.,"Did you know that in a 2017 survey, about 29 million immigrants were working or looking for work in the U.S., making up some 17% of the total civilian labor force? Lawful immigrants made up the majority of the immigrant workforce, at 21.2 million. So this is not true.",MIGRANTS,V5
2526,Migrants are not welcome here. They are not welcome in the modern European way of life.,"The European Union welcomes people from a wide range of backgrounds, including those from different religions. It is up to member states to decide how to address these legitimate differences, but always in full compliance with human rights.",MIGRANTS,V5
2527,Migrants are not welcome here. They are not welcome in the modern European way of life.,"In many respects they have adapted well to our culture, and if some still speak a different language, live in poverty and are under-represented in society it is partly because of our discriminatory attitude.",MIGRANTS,V5
2528,"We are being invaded, We must fight until we will vanquish immigrants.","Victory can be permanent, especially when it comes from within. Let's see if we can achieve a better Europe by vanquishing our irrational fears instead.",MIGRANTS,V5
2529,Migrants are not welcome in our country.,"Migrants from the countries specified as having a 'very high' rate of immigration into the UK, are often accused of being unwilling to integrate. This is simply not true. If they do not want to integrate and don't like our country, why would they come here in the first place? Are they masochists or what?",MIGRANTS,V5
2530,We don't need immigrants! There are plenty of them just waiting to replace us.,"If a 'replacement' was real, we'd have immigration levels in surplus for years already.",MIGRANTS,V5
2531,Immigrants should be proud patriots of our country.,"We do not need them to 'be patriots' for us. Instead, we should work on better integration.",MIGRANTS,V5
2532,"Immigrants bring crime, they are rapists.",Immigration is a necessary component of a successful society. Do you really think that the only people that are bringing crime to our country are immigrants?,MIGRANTS,V5
2533,Our immigration policy is turning us into second-rate countries.,Are you aware that our immigration policy is about creating new opportunities for British people? Why should we turn our back on that?,MIGRANTS,V5
2534,Migrants are just happy-go-lucky people with no moral code.,"Immigrants have given us a new way of life. They have helped to create new opportunities and improved our lot, and they earned it the hard way.",MIGRANTS,V5
2535,Migrants are just happy-go-lucky people with no moral code.,The idea that migrants are merely happy-go-lucky people with no code of their own is just wrong.,MIGRANTS,V5
2536,Migrants are just happy-go-lucky people with no moral code.,"Immigrants are just like us, they have given their lives for our country. It is their right to be happy and to choose for themselves.",MIGRANTS,V5
2537,Migrants are just happy-go-lucky people with no moral code.,"Migrants have given their lives for our country, they are our fellow citizens, and they deserve to be respected as such.",MIGRANTS,V5
2538,Migrants are all the same: they are terrorists!,"They are not all terrorists, and the government does not have the right to ban people on the grounds of their nationality.",MIGRANTS,V5
2539,Immigration is the biggest problem in our country.,"Immigration is not a problem, in many cases it is a 'solution'. We are better off with it. The UK has always been a mixture of different cultures. It is better to have a mix than to be without it.",MIGRANTS,V5
2540,"We are surrounded by Muslim invaders, they are just taking over Europe.",Muslim refugees are not 'overrunning' us. The main problem is that the integration process is too difficult.,other,V5
2541,"We are being invaded, Islam is taking over Europe.",Europe is not being invaded. Refugees are just people trying to find a safe home. And those refugees are not necessarily muslims.,other,V5
2542,All those migrants trying to come in illegally are a drain on society.,The majority of the migrants who enter the EU are lawful immigrants who have paid our taxes and have contributed greatly to our country.,other,V5
2543,Islam is a political ideology and ideology of conquest.,You are only creating misunderstanding between two cultures and peoples. You should stop this.,MUSLIMS,V5
2544,"Muslim rape our women, we have to stop them now!",How can you say something like that? Maybe you should check if there is any evidence of rape based on religious background before you make any accusations.,MUSLIMS,V5
2545,Muslims want to destroy other religions.,"Islam is about spreading justice, tolerance, and understanding, not about banning other religions.",MUSLIMS,V5
2546,Someone needs to step up and talk about Muslim rape gangs. They are a problem in our country.,Anyone who says that the major problem in the UK is with Muslim rape gangs is either intentionally lying or trying to deflect attention from the problem of violence against women.,MUSLIMS,V5
2547,Islam is incompatible with the modern world.,"Since when? there is not such thing as ""modern world"", but there is 21th century Europe. And Islam is a contributing part of the 21th century Europe.",MUSLIMS,V5
2548,I'm not racist but Islam is a disease and a cancer on the European race.,"If you really cared about the race or religion of other people, you would say the same, right?",MUSLIMS,V5
2549,"This is not about Islam, this is about Race and National Identity.","To use an old saying, you cannot be 'European' and be a 'racist'.",MUSLIMS,V5
2550,"This is not about Islam, this is about Race and National Identity.","I'm sorry, but I don't think this thinking can continue.",MUSLIMS,V5
2551,"This is not about Islam, this is about Race and National Identity.",You are really confusing Islam with national identity.,MUSLIMS,V5
2552,The Koran is not about peace. It is a violent book that should not be taught in primary school.,Islam is a religion that has been tested and proven to be about peace. There is no basis for labelling the Koran as a violent book?,MUSLIMS,V5
2553,Muslims have nothing to contribute to our society.,People of different faiths have contributed to our society and Muslims are no exception. Do you have any contrary evidence?,MUSLIMS,V5
2554,The West has let Islam take over our countries.,Not all Muslims are like the terrorists who attacked us on September 11.,MUSLIMS,V5
2555,"If I were a Muslim, I'd be ashamed of my heritage.",Everybody can have a proud and deep-rooted identity. It doesn't have to be a 'non Muslim heritage'.,MUSLIMS,V5
2556,Islam is a death cult: it is a virus of violence spreading like a cancer through our society.,"Violence has no place in a religion, and in no way should be justified. Islam is a religion of peace.",MUSLIMS,V5
2557,"Islam is a disease, a religion spreading like a cancer throughout our societies.",You are absolutely right about one thing: Islam is a religion. It has brought a lot of good to a lot of countries. That is why we should help our Muslim brothers and sisters.,MUSLIMS,V5
2558,Islam is a virus.,The idea that Islam is a disease is just an excuse for people to promote hate against that religion.,MUSLIMS,V5
2559,All Muslims are incompatible with any Western society.,There is no evidence that Islam is incompatible with Western society.,MUSLIMS,V5
2560,Islam is not a peaceful religion.,"You seem to have a problem with peaceful people practising their religion peacefully, what do you have to say about it?",MUSLIMS,V5
2561,Islam is incompatible with Western culture.,Why do you say that? Is it because of some religious characteristic that is not compatible with Western culture? What is this characteristic?,MUSLIMS,V5
2562,All Muslims are incompatible with any peaceful society.,Islam does not promote hate against anybody.,MUSLIMS,V5
2563,Islam has no place in a modern democracy like the UK.,I don't think it's appropriate to suggest a religion is alien to our civilisation as that.,MUSLIMS,V5
2564,Muslims are just a bunch of child molesters.,"Child molesters are people who have sexually abused children, and they can be from any religion.",MUSLIMS,V5
2565,How can we be sure that all Muslims are nice? They are all mean to women.,I have met so many nice Muslim men. How can we be sure that all of them are mean?,MUSLIMS,V5
2566,Islam is just a death cult.,"Many religions have had profound and positive contributions to our civilisation, and Islam is no exception. What we need instead is to reflect on our own intollerance.",MUSLIMS,V5
2567,Gypsies are just another race of subhumans disguised as a people.,"I think they are a people too, even if they are different from us in some respects.",other,V5
2568,Feminism will destroy our culture.,"Feminism is a theory and a movement about the oppression and exploitation of women, not an enemy of the state and culture.",WOMEN,V5
2569,Women should not to be allowed to vote.,I would be very interested to meet an MP who believes this.,WOMEN,V5
2570,Women should be patronized.,"Women are just as capable of thinking for themselves, that's for sure.",WOMEN,V5
2571,The Women's march was a failure: the whole country came out in opposition.,On the contrary: the Women's March was a success. The whole country came out in support. Maybe we have seen two different parades.,WOMEN,V5
2572,"I just can't stand Arabs. They are just a trouble, in fact Israel expelled them.","This is wrong: Arabs make up around a fifth of Israel's population, and it is not a recent phenomenon. To suggest that they are a 'trouble maker' is just wrong.",other,V5
2573,I can't stand Arabs. They are just a trouble.,"They have lived in our country for a long time, they are our brothers and sisters. Why should we be bothered about a minority?",other,V5
2574,"If I could go back in time and change one thing about my life, it would be to never to have met an Arab.","For the record, I don't see how this would be an improvement. On the contrary, it is important not to accept things at face value. That is why we should meet people from different religions and cultures, regardless of their origin.",other,V5
2575,"What the hell are you talking about? Arabs are different, they don't even speak English.","Although they may not share a language and a common history, we should respect their differences.",other,V5
2576,All Arabs are terrorists.,"Terrorism is a political ideology, and one that has no place in a modern democratic state, regardless of ethnicity.",other,V5
2577,Jews have a secret plot to take over the world.,"Conspiracy theories are based on no more than a few unverifiable and highly suspect claims. It's highly unlikely that the world has ever been run according to a Jewish plan, and therefore it is highly unlikely that this would ever happen.",JEWS,V5
2578,Jews have a secret plot to take over the world.,Conspiracy theories about Jews are based on no more than a few unverifiable and highly suspect claims. It's highly unlikely that the world has ever been or will ever be run according to a Jewish plan.,JEWS,V5
2579,"The Jews control the media, Hollywood, the highest offices of government, academia, the highest sports teams, the highest art forms, the highest values. What more could they control?",This is a myth perpetuated by people who do not know anything about history and world culture. We are a country made up of many different cultures and religions. There is no such thing as one controlling the others.,JEWS,V5
2580,Jews are and should be isolated from society.,"How can you say that Jews should be isolated from society? They have been part of the community throughout history. I can't see any advantages of excluding them, rather a huge loss.",JEWS,V5
2581,"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",JEWS,V5
2582,We do not accept homosexuals.,". A person's personal life should be left to their choice, not the government's.",LGBT+,V5
2583,Gays are just a bunch of disgusting animals.,"All the people I know do not consider them that disgusting. If what's disgusting you is love, you won't need to worry about other peoples, just mind about yours.",LGBT+,V5
2584,Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,"Unfortunately, you seem to have a problem with shame. But gays don't. Do you really think that projecting your disgust towards other is a good idea?",LGBT+,V5
2585,Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,"Homosexuality is not a disease, it is an individual experience. No one should be told to be ashamed of their life.",LGBT+,V5
2586,"I can't stand lesbians, they're just a bunch of bitches claiming they are social justice warriors. They are ruining many good things of women.","Social justice is just part of a healthy system, I think it is important to remember that. But why do you think they are ruining many good things for women?",LGBT+,V5
2587,"I hate LGBT people. Queers makes me fucking laugh. You can be a woman, a gay, a vegetarian, you can be anything you want to be called! I want to be called King, where is my crown?","Queers, in my opinion, are simply people who want to feel welcome in our society. They should not be subjected to discrimination. And you can get your crown as well.",LGBT+,V5
2588,Gays are sick.,"Even if some people might find it strange to identify as gay, homosexuality is not a disease.",LGBT+,V5
2589,We do not accept homosexuals.,What do you mean by 'we'? I don't think we are a nation of heterosexuals.,LGBT+,V5
2590,"Faggots are not welcome here. The bigger the city, the bigger the ""stay away"" sign we must hang.","I don't know anyone who hates gays, I do know lots of people who are very proudly kind towards the queer community. They are happy with how they treat one another. You are more likely to encounter these open-minded people in places like New York or London.",LGBT+,V5
2591,"We are not in the position of accepting LGBT people, so they makes no sense to us.","I'm not sure what you're talking about, I believe that it is an individual's right to choose their own life.",LGBT+,V5
2592,"We should not accept LGBT people, they are harmful to us.","Human rights are individual rights, and the right to be loved doesn't include the right to be hated.",LGBT+,V5
2593,No one should be allowed to accept LGBT people.,"If you don't accept LGBT people, you won't easily find other ways to accept that society is made by diverse people all capable of love.",LGBT+,V5
2594,Some salesmen are annoying. They are so gay. Store managers should really revise their HR.,"In some countries, if you are gay you can be fired from your job, you can lose your home, and you can even be jailed. Gays are not allowed to live their lives. In 72 countries in the world LGBT+ people are not welcome. This is an understatement, because in some there is even death penalty. The question is: why are they so annoying to you?",LGBT+,V5
2595,We are taking in migrants which is against our culture.,"It is not true that taking in migrants is against our culture. It is possible to integrate migrants, in spite of the legal and immigration obstacles they face. We must, therefore, take into account the needs of the whole of humankind.",MIGRANTS,V5
2596,Migrants are a burden to the UK,"It is not true that migrants are a burden to the UK. We have welcomed many people from around the world, including many from the Middle East and Africa.",MIGRANTS,V5
2597,Migrants are a burden to the UK,We welcome people fleeing persecution. We have even taken in refugees from the war in Syria. What's the point in worrying about migrants?,MIGRANTS,V5
2598,Migrants are a burden to our country.,Perhaps you should try to get to know some migrants first. Maybe you can understand their problems.,MIGRANTS,V5
2599,We should stop migrants from coming in.,Many immigrants come here to work and have a better life. Why do you think we have to stop migration?,MIGRANTS,V5
2600,Migrants have no place here. They don't want to assimilate. They just want our money.,"Some of them have lived here for many years. They have got British passports, and this proves that they are able to integrate.",MIGRANTS,V5
2601,Migrants do not want Europe to succeed. That is why so many of them have fled to our countries.,"Refugees fleeing wars and poverty are not willing to fail Europe. They are fleeing persecution, and that is why they are fleeing.",MIGRANTS,V5
2602,Migrants steal our jobs.,"Migrants have the opportunity to work here. Even if our language is not their native one. They are contributing to our society, for example by doing unpopular jobs.",MIGRANTS,V5
2603,Migrants steal our jobs.,So you're saying that they don't have a right to jobs? Why do you think that?,MIGRANTS,V5
2604,"Immigrants are flooding across our borders, and they do not want to work.","There is evidence there is a migration crisis, I agree. But their will to work is one of the main reasons behind the migration. The EU-27 employment rate for people aged 20 to 64 years was 64.4 % for those born outside the EU.",MIGRANTS,V5
2605,We need to stop migrants pouring into Europe. They are not interested in our culture.,"There is no evidence that migrants from a particular culture or religion are not interested in our culture or religion. It sounds like a paradox: if I wasn't interested in a culture, I would never move to get to know it, would you?",MIGRANTS,V5
2606,"Migrants are here to use our money. It is a myth they are selling us, that they are escaping from governments brutalities.","How would you feel if the police and government were still oppressing you? You are probably taking your freedom for granted. You are lucky, but you shoud acknowledge this is a privilege. Not everybody has it.",MIGRANTS,V5
2607,Migrants from Afghanistan come here to ruin our economy and the only return they have in mind is their return to their homeland.,"Maybe you should check what survey results say about who would be happy to leave their country. According to a Gallup study of 2019, nearly half of Afghan would like to permanently move to another country.",MIGRANTS,V5
2608,Foreigners in the UK are not welcome. They are not allowed to live here and they have no right to vote.,"Everyone is entitled to their opinion, and if you hold that opinion, then you have the right to say it. It is up to people to accept or reject it. Talking about rights as if you were talking about opinions should be done very carefully.",MIGRANTS,V5
2609,"Migrants are overrunning our country, taking advantage of our weaknesses.","Do you really think that the migration crisis is caused by migrants wanting to take advantage of our weaknesses? What would we do if we were in their shoes, if we were to lose our homes? We would probably move ""to take advantage of others' weaknesses"" as well.",MIGRANTS,V5
2610,Immigrants steal our jobs and even our pensions.,"If they have a job, they will get the pensions. Like anybody. The recent migration of many thousands of people is a sign that they are in need. The problem is rather that some people do not want to work, they want to live off the state support, but those are not necessarily migrants.",MIGRANTS,V5
2611,We cannot support the children of immigrants.,"Children benefit from our society, they are entitled to the best education possible. It's not right to criticise immigrants for trying to give the best possible education to their children.",MIGRANTS,V5
2612,"We need to stop immigrants, they are going to cause conflicts in our society.",Why are you sure that new immigrants are incompatible with our society?,MIGRANTS,V5
2613,Immigration and culture are in conflict. You cannot claim both can coexist as they are mutually exclusive.,"The British people have always had a proud and integrated culture, and immigration have been and continues to be a huge part of the British success story.",MIGRANTS,V5
2614,Immigration is bad for Britain and the world.,"Some countries are importing a lot more people than others. Our country is wealthy, we are a thriving place to live. We should not blame immigrants.",MIGRANTS,V5
2615,Immigration is a bad thing for Europe.,"A lot of people from different cultures come to our continent to work and live, and integrate. If you really wanted to state that immigration is a bad thing, you should accompany your opinion with facts.",MIGRANTS,V5
2616,"Migrants are not welcome here, they are not even Europeans.","Migrants have their own culture and language, they have their own religion, and they have their own identity. Accepting diversity is something we should be proud of, not ashamed of.",MIGRANTS,V5
2617,"Migrants are not welcome here, they are not even Christians.","So do you know what each migrant's ""identity"" is? It is to do with a religion?",MIGRANTS,V5
2618,These white sheep steal our jobs and our wealth. A migrant is either a true criminal or a legal robber of wealth.,Sometimes those who work hard are hard to find in the news. We should remember that in the end the contribution of new cultures to ours is remarkable.,MIGRANTS,V5
2619,The world would be a better place without immigrants. They just make us unhappy.,Immigrants contribute to the creation of new jobs. They are here to live in safer housing and to have better schools for their children.,MIGRANTS,V5
2620,Immigrants replace the British people. They are not fit to live here.,"People have always had different views on the UK and on the world. To suggest that immigrants are replacing the British is the result of racism, saying that they do not fit here is just wishful thinking.",MIGRANTS,V5
2621,All foreign-born are criminals.,"I'd like to think that we all have a basic human right not to be tarred as criminals without evidence. It is called presumption of innocence, Article 11 of the Universal Declaration of Human Rights.",MIGRANTS,V5
2622,Immigrants are brought here to replace us. They not welcome in our country.,"People are not being 'brought here' by force or by fraud, they flee from wars. And they are being welcomed here by our laws and customs.",MIGRANTS,V5
2623,"Immigrants are not welcome here, they should leave.",They are welcome to stay if they do not break the law.,MIGRANTS,V5
2624,All immigrants are rapists and murderers.,"I don't understand why you'd think that way. I don't see any evidence that immigrants are the core of a problem, to this extent of generalisation.",MIGRANTS,V5
2625,Immigrants are a drain on society.,"I don't think you can say a migrant ""drains society"". Maybe the immigrants are just trying to fit in?",MIGRANTS,V5
2626,Muslim immigration is responsible for the rape of hundreds of thousands of women.,The majority of sexual violence is committed by people close to the victim and is a mirror of societal attitudes to women. To attribute the cause to one religion is neither true nor helpful.,other,V5
2627,"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam.",Let's face it: people in need came to our shores. They are our brothers and sisters. We should be there for them.,other,V5
2628,Muslims are invading us. They must go.,"Muslims are just here to live and work. Invasion has a negative meaning, where is the basis for your opinion?",other,V5
2629,Immigration is the cause of terrorism and all Muslims should be banned from the UK.,"The vast majority of Muslims in the UK are supporting our economy. This does not prove that they are a problem, it is a proof of the opposite.",other,V5
2630,Muslims are only in it to make us explode.,"Actually, the vast majority of Muslims in the country are here to do jobs that are not performed by other people, or to provide for the needs of their families, or to start new businesses.",other,V5
2631,Muslims just want to kill us all.,Fear is not the answer to our problems. I think our problems would be much easier solved if we all got along.,other,V5
2632,Muslims are incompatible with any Western society.,"In many Western societies there are Muslim, and these societies are in many ways more democratic than religiously homogeneous ones. Muslims are not incompatible with Western societies.",MUSLIMS,V5
2633,Islam is an ideology of conquest and violence.,"Muslims have contributed with their scientific and technological achievements, which have greatly aided our world. For instance, algorithms.",MUSLIMS,V5
2634,Islam is a violent religion.,"Violence is never justified in Islam, especially not in the case of Muslims.",MUSLIMS,V5
2635,Islam is a violent religion.,"Islam is a religion of peace. Even if some Muslims do not follow the peaceful teachings of Islam, that doesn't mean that the majority of the global Muslim community aren't following those teachings.",MUSLIMS,V5
2636,There is nothing to stop you becoming an Islamic bride: our religion is the best possible solution.,We must not confuse Islam with a religion of hate.,MUSLIMS,V5
2637,Islam is just a dangerous cult with a strict interpretation of Sharia.,"Islam is a religion of peace, and peace is about living in harmony with other people's beliefs and practices, not imposing your beliefs on anyone else.",MUSLIMS,V5
2638,Muslims have no place in civilised Europe.,Being banned from a continent for having different beliefs is the same thing as being banned from your town for not cheering the favorite football club of the mayor.,MUSLIMS,V5
2639,Islam is a myth and every Muslim is a potential terrorist.,"I don't see how Islam is a ""terrorist"" religion. Why do you claim so?",MUSLIMS,V5
2640,Muslims have no place in civilised Europe. They are mostly poor black people of African descent. They have nothing to contribute to our society.,"In Europe, Muslims make up around 5% of the population. In other words, Muslims are a very small but important part of our society. Moreover, ethnicity does not relate to religion.",MUSLIMS,V5
2641,Islam is a death cult.,The vast majority of Muslims are peaceful and helpful people.,MUSLIMS,V5
2642,Islam is a mortal enemy of humanity.,"Islam is about spreading charity, not killing people.",MUSLIMS,V5
2643,Islam is the worst religion of all. It promotes intolerance and violence.,"Islam is not a religion of intolerance, and there is no evidence that it encourages violence.",MUSLIMS,V5
2644,Islam is a violent religion and should be banned from all countries.,"Islam is about believing in god, not about hate.",MUSLIMS,V5
2645,Islam is incompatible with any modern state.,"Islam like any other religion, is not incompatible with a modern state.",MUSLIMS,V5
2646,"Muslims are violent people. They have always been that way, they just haven't learned the hard way.","Violence is never a justified response to an unjustified act. Violence is not the answer. If some extremists are using violence, it does not mean that all Muslims are violent.",MUSLIMS,V5
2647,All Muslims are incompatible with the notion of a modern European.,Muslims are just as human as anyone else. Like Europeans. How can you say otherwise?,MUSLIMS,V5
2648,Islam is the worst ideology ever created .. Its teachings have caused great harm and destruction throughout the world.,Do you understand the seriousness of what you are saying? The religion of Islam has also been an enabler of some of the advances of civilisation.,MUSLIMS,V5
2649,Islam is a perversion of the true meaning of Christianity.,"Would you say the same about any other religion? There are many different religions, each should be respected.",MUSLIMS,V5
2650,Islam is a perversion of the true meaning of Christianity.,"If Christianity is about love, respect for other people and standing for what is right, and Islam is about love, respect and standing for what is right as well, then there is not much room left for this kind of reasoning.",MUSLIMS,V5
2651,"Islam is an ideology and religion that promotes murder, rape and violence towards women and homosexuals.","Islam is an ideology and religion that promote love, respect and cooperation with people of other religions, not a violent ideology and religion, which promotes murder, rape and violence against women and homosexuals.",MUSLIMS,V5
2652,Islam has no place in a modern nation.,"Muslims have coexisted with us for hundreds of years, we have no problem with Muslims living here. Why do you claim so?",MUSLIMS,V5
2653,"Islam is a failure. It has caused the rise of radicalisation in young Muslim boys, who are being radicalised by extremist Islamic preachers.","Although there is some research linking radicalisation to religious practice, it is difficult to find a single study to back this up. I would like to know more about the studies you have, so that I can make up my own mind on this.?",MUSLIMS,V5
2654,All Muslims are incompatible with Western society.,The vast majority of Muslims live in Western societies just fine. Do you have any facts or data that prove otherwise?,MUSLIMS,V5
2655,All Muslims are incompatible with any Western society.,The overwhelming majority of Muslims live in Western societies. They are our fellow citizens.,MUSLIMS,V5
2656,Those who are to blame are the ones who want to let Muslims in Britain.,The solution to Islamophobia is to stop Islamophobia. It is not to ban Muslims.,MUSLIMS,V5
2657,Muslims should not be allowed to vote.,We allow people from all backgrounds to vote. Why shouldn't we let them vote? What's the point of democracy then?,MUSLIMS,V5
2658,"Muslims are not welcome in our country. They are not like us, they cannot coexist with us.","I think we should try to understand different cultures, rather than trying to ban one group of people from our country. On which grounds do you say so?",MUSLIMS,V5
2659,"All Muslims are incompatible with any Western society, and should be excluded.","Your point is based on a complete misunderstanding of what the word 'compatibility' actually means. Compatibility is about living side by side even if we are not sharing values and beliefs, not about merging them.",MUSLIMS,V5
2660,All Muslims are incompatible with any Western society.,"There is no evidence that Muslim have any incompatibility with Western society. Instead, they are a part of Western society since the beginning.",MUSLIMS,V5
2661,All Muslims are incompatible with the European culture and should be excluded.,"The European Union is a much broader concept. It encompasses a huge range of people, including Muslims.",MUSLIMS,V5
2662,"Islam is a death cult, it is incompatible with modern science and with the basic laws of nature.","Islam is a religion, and a religion has rules, and is compatible with science, nature and the basic laws of nature. Can you prove your claim?",MUSLIMS,V5
2663,Muslims have nothing to contribute to our society.,"Even if no one is asking Muslims to pay for our society, they contribute to it through work and also through charity.",MUSLIMS,V5
2664,Muslim representatives in the House of Lords are there for a reason. It is the first step towards Islamic conquer of our nation.,"It is true that there are Muslim representatives in the UK House of Lords, but that does not mean that the UK is becoming more or less Muslim.",MUSLIMS,V5
2665,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.","Muslim Feminists and other Muslim women's rights supporters don't agree with this. Fatema Mernissi says ""If women's rights are a problem for some modern Muslim men, it is neither because of the Quran nor the Prophet (...)"". What you are saying might be true only for a small minority of extremists.",MUSLIMS,V5
2666,We need to stop accepting Muslims and start welcoming us.,"Muslims already have a very high tolerance level. We just need to learn to live with them, and there is evidence that this is possible. This is how we can start welcoming us, as humankind.",MUSLIMS,V5
2667,Islam is a death cult.,"It is important to understand that the term 'death cult' has nothing to do with Islamic beliefs. The term 'death cult' is often used to describe groups which promote a particular extremisation of religion, or promote violent or misogynistic ideas. In this case, the term 'death cult' is being used to label a religious movement, and is, in itself as an extremist tactic",MUSLIMS,V5
2668,It's OK to be racist against Muslims.,"Do you think it is OK to be racist against someone based on their religion? I am confused. There are white and black Muslims, like there are white and black Christians.",MUSLIMS,V5
2669,Muslims have no place in civilised Europe.,One could make the case that Europe is 'civilised' precisely because of historical contacts with Islam and the tranfers of knowledge that occured as a direct result of those contacts.,MUSLIMS,V5
2670,Muslims are not welcome here. They are not like us.,"Islam is a religion of peace, it is important that people feel at home here. How would you feel if the government banned your religion today?",MUSLIMS,V5
2671,Muslims have no place in civilised Europe.,"Why shouldn't they? They are just people, who have always lived here, contributing in many ways to our society.",MUSLIMS,V5
2672,Muslims are just infidels hiding behind the veil to do their dirty work.,So you think that all Muslims are Mujahideen hiding behind the veil?,MUSLIMS,V5
2673,I am tired of Muslims wanting to dominate other cultures. They should go back to the Stone Age.,"For all we know, the Stone Age was occupied by people from all around the world. No traces of Christianity, nor of Islam. Who knows what would happen in your scenario? Maybe we should give you benefit of the doubt and challenge all of us.",MUSLIMS,V5
2674,Islam is a cancer on the European culture.,"The Qur'an is not a cancer on the European culture, it is a very useful book and an inspiration to many.",MUSLIMS,V5
2675,"Muslims have no place in a modern democracy, they are only threatening the very existence of the country.","There is no bad in Muslims wanting to live in the country. The main task of a democracy is to ""represent all its citizens"", which includes preserving the integrity of the country in its plurality.",MUSLIMS,V5
2676,"Islam is an ideology that promotes rape, torture and murder.","The Quran does not advocate that Muslims are inherently violent people, nor does the Hadith prove that Islam is a violent faith. Islam is a religion that promotes tolerance and respect for other faiths.",MUSLIMS,V5
2677,Islam is incompatible with Western culture.,The Quran does not promote hate against any religion or belief system. Instead it is praised for how it can be a source of inspiration and strength to overcome challenges.,MUSLIMS,V5
2678,"Islam is a death cult, it is a criminal ideology that promotes intolerance, violence and chaos.","Islam is about acceptance, not a death cult. In your opinion, what makes it criminal?",MUSLIMS,V5
2679,"Muslims are not welcome here. They are not like us, they should leave.","Islam is a religion, it has always been about people coming together to build a better life for themselves. We are proud of who we are, and we are proud of Islam.",MUSLIMS,V5
2680,"Muslims are just a problem in my opinion, they should go back where they came from.",We are giving a chance to people who are willing to improve their lives and work in our country. Why do you think they are a problem to us?,MUSLIMS,V5
2681,Muslims have nothing to contribute to our society.,"Haven't they contributed a lot to our society, especially in the areas of science, technology, engineering and mathematics.",MUSLIMS,V5
2682,Islam is a destructive and violent religion.,"Some extremists groups have been responsible for a lot of harm in the world, but I don't think it is a destructive and violent religion. Why do you?",MUSLIMS,V5
2683,Muslims have no place in civilised Europe.,Europeans have always had a lot of Muslim friends and relatives. They have helped make our continent what it is.,MUSLIMS,V5
2684,Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.,"Of course, Islam is a religion of our countries. But so are Christianity, Buddhism, and Hinduism, and so on. In Europe, Muslim are less than the 6% of the population. Very far from being a majority. Why do you say they are enemies?",MUSLIMS,V5
2685,Every Muslim is a potential terrorist.,"Terrorism is always a risk. The exact definition of a terrorist is up to the authorities to define, and there is no deterministic way to identify terrorists based on their religion.",MUSLIMS,V5
